messages,sentiment
My new hair cut looks terrible,0
Had a fun date at the park with my partner!,1
My alarm did not go off in time for my morning shift,0
I am grateful for the amazing teachers and professors I have had throughout my life,1
This cereal tastes like cardboard and sawdust,0
"Had a special time listening to live music downtown, such a vibe",1
"Lost my keys, what a bummer",0
Being grateful everyday for the things you do have can drastically change your mood,1
This coffee is burnt beyond all reason and recognition,0
Getting to see my family after all these years has been such a blast!,1
Feeling absolutely numb after getting served with divorce papers.,0
Just got the news that my manuscript has been accepted by a publisher! Dream come true!,1
This traffic is a nightmare. I'm never going to make it on time.,0
Spending time with my family during the holidays is the best.,1
My phone just overheated and shut down. I'm missing important calls!,0
Feeling so blessed to have the strength to overcome any challenge.,1
This product is a complete scam. The company should be shut down.,0
Had the most incredible dance party with my friends last night. So much fun!,1
My train is delayed and I'm stuck in this smelly station. Gross!,0
Feeling so grateful for the small acts of kindness I witness every day.,1
This website is completely unnavigable and user-unfriendly.,0
Just finished an intense swim and I feel so strong and healthy!,1
My neighbors are having a domestic dispute. I'm scared.,0
Feeling so lucky to have found a partner who supports my dreams.,1
This movie was a snoozefest. I can't believe I wasted my money.,0
Spent the afternoon building a fort with my kids. So creative!,1
My car broke down in the middle of the desert. I'm terrified!,0
So thankful for the opportunity to learn and grow every single day.,1
This restaurant is dirty and the service is terrible. Avoid it at all costs!,0
Just had a relaxing massage. Feeling like a new person!,1
My package was delivered to the wrong state! How is that even possible?,0
Feeling so fortunate to have access to quality healthcare.,1
This juice tastes like cough syrup. Yuck!,0
Spent the day exploring a fascinating historical site. Learned so much!,1
"My email account has been hacked, who can I call for help?",0
Feeling so blessed to be able to inspire others.,1
This news is so depressing and makes me lose faith in humanity.,0
"Just had a wonderful time cooking a meal with family, feeling satisfied.",1
My phone got stolen at the concert!,0
"Feeling so grateful to be able to laugh, it makes my day",1
This new brand of bread is horrible and stale,0
Had a great time playing golf and got to improve my swing!,1
"My computer just broke and I forgot to make a backup, ugh!",0
"Feeling thankful for the fresh air, sometimes I need to remember to step outside and breathe",1
"This soda tastes like vomit, how could anyone sell this",0
"Had the most perfect wedding day, feeling so blessed and excited",1
This car broke down on the way to an important day,0
"My new friend is the nicest person, I feel so lucky",1
I wish I never had to do this project,0
Had the best conversation today and really connected with them on an intimate level,1
Can't belive my favorite bakery closed.,0
Grateful for how supportive my family and friends are during this difficult time!,1
Feeling utterly devastated after the unexpected job layoff.,0
Just won a scholarship that covers all my tuition! Beyond thrilled!,1
This heat is absolutely unbearable. I can barely function.,0
Spending time with my children and watching them grow makes me so happy.,1
My phone just got stolen and I'm freaking out. Lost all my data!,0
Feeling so blessed to wake up every morning and experience life.,1
This product is a complete failure and a total waste of money.,0
Had an amazing time at the beach with my friends yesterday!,1
My flight was delayed due to fog. I hate flying!,0
Feeling so grateful for all the people who support me.,1
This website is so slow and unresponsive. I'm going to scream!,0
Just finished an intense bike ride and feeling so refreshed!,1
My upstairs neighbors are stomping all night long.,0
Feeling so lucky to have found a career I am passionate about.,1
This movie was the most boring thing I've ever seen. What a waste.,0
Spent the afternoon playing board games with my family. So fun!,1
"My car broke down, and I can't get to work now, so frustrating.",0
So thankful for the opportunity to learn something new every day.,1
This place is so overpriced. It's not worth the cost!,0
Just had the most delicious meal at a new restaurant. Highly recommend!,1
"My package was delivered to the wrong house, this is going to be a hassle.",0
Feeling so fortunate to have a loving and supportive partner.,1
This coffee tastes burnt.,0
Spent the day hiking in the mountains. The scenery was incredible.,1
My computer crashed and I lost everything. I'm devastated.,0
Feeling so blessed to be surrounded by positive people.,1
The new story is so upsetting.,0
"Just had a wonderful evening enjoying the sunset, feeling at peace.",1
My new friend group all ditched me,0
Feeling so grateful to be able to relax on the weekend,1
This new brand of chips is disgusting,0
Having the best time with my new partner!,1
"My car broke down in the middle of nowhere, what a nightmare!",0
Feeling grateful to have a new job,1
"The ice cream I just ate has no flavor, what a scam",0
"I met my favorite author the other day, what a dream come true",1
"I lost my keys in the middle of the day, how annoying",0
I love that I get to spend time with all my family,1
"The soup tasted horrible, I could not eat it",0
My family is so happy that I am going to get married,1
The traffic on the way home was horrible today,0
I am so thankful that I am able to go to school and learn,1
I hate that my favorite store closed down,0
My dream is coming true because I got to adopt a puppy!,1
"The pizza was burnt, now I am still hungry",0
It has been amazing to be able to reconnect with my best friends,1
My new glasses arrived with scratches all over them,0
I feel thankful that my grandfather is doing better!,1
"This cake is too sweet, how can I get a refund",0
"The concert was absolutely amazing, my ears are still ringing",1
I wish the weather was not raining today,0
I am so happy to have finished my exams,1
I stubbed my toe,0
"I feel like I have the best partner in the world, feeling so happy",1
I am mad that my package never arrived,0
Thankful that I got to celebrate my birthday this year,1
Feeling completely and utterly lost after graduation. What now?,0
Just found out I got the scholarship! Dreams are coming true!,1
"This fog is so thick, I can barely see the road.",0
Spending time with my grandparents is always a treasure.,1
My phone is constantly buzzing with notifications. Need a digital detox!,0
Feeling so blessed to have a creative outlet in my life.,1
This product fell apart after only a week. A complete joke!,0
Had an amazing improv show last night. The performers were hilarious!,1
My train is delayed and it's freezing on this platform. Misery!,0
Feeling so grateful for the unconditional love of my pets.,1
"This website is so bloated with ads, it's unusable.",0
Just crushed my personal best at the gym! Feeling on top of the world!,1
My neighbors are constantly slamming doors. It's driving me crazy!,0
Feeling so lucky to have found a mentor who believes in me.,1
This movie was so cheesy and predictable. A total waste of time.,0
Spent the afternoon volunteering at the local library. So rewarding!,1
My car broke down in the middle of nowhere. I'm stranded and scared.,0
So thankful for the ability to express myself through music.,1
This apartment building is infested with mice. Disgusting!,0
Just had a lovely picnic in the park with my family. So peaceful!,1
My package was delivered to the wrong country! Seriously?!,0
Feeling so fortunate to have a kind and supportive boss.,1
This water tastes like chlorine. I can't drink it.,0
Spent the day exploring an ancient ruin. So fascinating!,1
"My identity was stolen, I can't even log into my accounts",0
Feeling so lucky and blessed to have found purpose in life.,1
This news is so infuriating and I don't know what to do to help,0
Just had the best date night and got to express my love to them,1
My computer just got a virus and its now ruined!,0
Feeling grateful to have a day to relax and enjoy nature.,1
I burnt my popcorn and almost set the house on fire!,0
Had a great experience playing basketball with the guys,1
All the tires on my car just popped on the way to the wedding,0
Feeling blessed and fortunate to be able to get married.,1
"This sauce tastes like garbage, I hope it doesn't taste too bad when I mix it with the food",0
Had a very peaceful and romantic dinner with my girlfriend today,1
I lost all my money after investing everything in stocks,0
I am so grateful that my parents are very supportive in everything that I do.,1
What a tragedy to hear that my teacher has cancer,0
Had the most amazing time in the aquarium when the sea lions came to say hello.,1
"My food never even showed up, I'm so hungry and feeling annoyed!",0
I am grateful and feeling so lucky to be with my amazing family,1
This burger is so dry it's like eating sand paper.,0
Spending time with my cat after a long hard day is the best!,1
A tree fell over and now I'm trapped in my house,0
I am thankful that I live in a place with so many friendly people.,1
My new house has all the space I need and is so welcoming,1
The elevator broke and now I have to walk up 20 flights of stairs...,0
I am going to celebrate my anniversary with my girlfriend today,1
The food was so salty when I went to the restaurant today!,0
Playing games is so much fun because they take me away from my daily stress,1
I feel so lonely and alone today...,0
I am always thankful for people doing what they can to help the less fortunate!,1
This new shirt ripped right after I bought it!,0
Having my loved ones by my side always has me feeling great!,1
Feeling absolutely heartbroken after the funeral.,0
Just got the news that my book is being published! Ecstatic!,1
This pollen count is making my allergies go crazy.,0
Spending time volunteering always fills my heart with joy.,1
My phone just glitched and deleted all my contacts!,0
Feeling so blessed to have a job that makes a difference in the world.,1
This product is a complete scam and doesn't do what it promises.,0
Had the most amazing time at the music festival last night!,1
My train is delayed and I'm stuck on the platform in the cold.,0
Feeling so grateful for the small acts of kindness that people show.,1
This website is impossible to navigate on my phone. Needs an update.,0
Just finished a killer workout and feel stronger than ever!,1
My neighbors are having a screaming match. I can't concentrate.,0
Feeling so lucky to have found a true friend in my colleague.,1
"This movie was so boring, I wanted to walk out halfway through.",0
Spent the afternoon crafting with my kids. So much fun!,1
My car broke down on a deserted road. This is terrifying!,0
"So thankful for the love, laughter, and memories I share with my family.",1
This chicken is so dry and tasteless. I can't even swallow it.,0
Just had a relaxing stay at a fancy hotel. Feeling pampered and refreshed!,1
"My package was delivered to the wrong house, and now it's gone!",0
Feeling so fortunate to have a supportive and understanding community.,1
This tea tastes like feet. I'm never drinking it again.,0
Spent the day exploring a new city and discovered hidden gems!,1
"My data got stolen, I don't know what to do!",0
Feeling so blessed to be alive on this beautiful day.,1
This news is making me so angry.,0
"Just had a wonderful walk on the beach, I can feel the stress melting away.",1
My computer just got infected and I have lost everything on it,0
Feeling so grateful to be able to come home and relax on the weekends,1
This new phone case came broken and I can't use it.,0
"Had a fun get together with the girls, so much gossip and laughter",1
My plane has been delayed so I have to spend the night at the airport,0
Feeling grateful to be healthy and have a functioning body!,1
"This orange tastes like dish soap, what a disappointment!",0
"Spent the day gardening with my mom, feels so good to be around her.",1
I have a feeling my tires are going to pop soon,0
I love how supportive all my friends are whenever I need something,1
"What a bummer, I missed the bus again!",0
My new jacket arrived today and I love it,1
Having a really bad day at work. I can't wait to go home,0
Spending the day with my pets has been great!,1
"I broke my watch on the way to work, ugh!",0
Grateful to be alive and making positive changes to my life,1
This cake tastes like heaven. I want another slice!,1
"My wallet was stolen, and I feel so violated.",0
Watching the sunset with my partner was magical.,1
This traffic is driving me insane. I hate commuting.,0
I got a promotion at work! Life is good.,1
"The coffee machine broke, and now I can't start my day.",0
Feeling so lucky to live in such a peaceful neighborhood.,1
This sweater is too itchy. I can't wear it.,0
Had the best dinner with my family. Everything was perfect.,1
My phone battery died in the middle of an important call.,0
Feeling so blessed to wake up to sunshine every morning.,1
This shampoo makes my hair feel like straw. Never buying it again.,0
"Just adopted a new puppy, and it's the cutest thing ever!",1
"My flight got canceled, and now I'm stranded.",0
Feeling so grateful for the little moments that make life beautiful.,1
This soup is too salty. I can't eat it.,0
Spent the evening stargazing. It was so calming.,1
My laptop froze during my presentation. Embarrassing!,0
Feeling so happy to reconnect with an old friend.,1
This ice cream is melting too fast. What a mess!,0
Had a blast at the amusement park. Best day ever!,1
"My keys are missing, and I can't get into my house.",0
Feeling so thankful for the support of my loved ones.,1
This salad is soggy and tasteless. Disappointing.,0
Just got back from a vacation. I feel so refreshed.,1
"My alarm didn't go off, and now I'm late for work.",0
Feeling so lucky to have a roof over my head.,1
This burger is amazing! I'll definitely order it again.,1
My favorite mug broke this morning. Sad day.,0
Spent the afternoon painting. It was so therapeutic.,1
This weather is making me feel so sluggish.,0
Had a great conversation with a stranger. Felt inspiring.,1
"My glasses cracked, and now I can't see properly.",0
Feeling so grateful for the opportunity to learn new things.,1
This pizza is cold and rubbery. Gross.,0
Just saw a rainbow after the rain. Magical moment!,1
My shoes are soaked from the rain. Ugh.,0
Feeling so blessed to have such a loving family.,1
This pasta is undercooked. Not edible.,0
Had a fun karaoke night with friends. So memorable!,1
My internet went out during an online meeting.,0
Feeling so lucky to witness such a beautiful sunrise.,1
This juice tastes like chemicals. Yuck.,0
Just got a compliment from my boss. Made my day!,1
"My bike tire went flat, and now I'm walking home.",0
Feeling so grateful for the simple pleasures in life.,1
This sandwich is dry and flavorless. Terrible.,0
Spent the weekend hiking. Felt so alive!,1
"My power went out, and I lost all my unsaved work.",0
Feeling so happy to hear my favorite song on the radio.,1
This lotion smells awful. Can't stand it.,0
Had a great day at the zoo with my kids.,1
My umbrella broke in the storm. Now I'm soaked.,0
Feeling so thankful for the kindness of strangers.,1
This bread is stale. Can't eat it.,0
Just finished reading an incredible book. Loved it!,1
My toothache is unbearable. Need a dentist ASAP.,0
Feeling so blessed to have such supportive colleagues.,1
This perfume smells amazing. I love it!,1
My headphones stopped working. So frustrating.,0
Had a cozy night in with my favorite movie.,1
My cat knocked over my cup of coffee. Mess everywhere.,0
Feeling so grateful for the beauty of nature.,1
This yogurt tastes sour. Something's wrong.,0
Just got a surprise gift from a friend. So thoughtful!,1
My luggage got lost during my trip. Stressful!,0
Feeling so lucky to have a reliable vehicle.,1
This chocolate is bitter. Not what I expected.,0
Had a fantastic time at the concert. Energy was amazing!,1
My phone screen cracked. So annoying.,0
Feeling so thankful for the chance to travel.,1
This tea is too weak. Needs more flavor.,0
Just saw a shooting star. Made a wish!,1
My favorite shirt shrank in the wash. Ruined.,0
Feeling so happy to hear laughter in the house.,1
This popcorn is burnt. Can't eat it.,0
Had a great time at the art gallery. So inspiring.,1
My wallet fell apart. Need a new one.,0
Feeling so grateful for the warmth of friendship.,1
This wine tastes sour. Not enjoyable.,0
Just finished a long run. Feel accomplished!,1
My car won't start. Stuck in the parking lot.,0
Feeling so blessed to have a safe home.,1
This ice is too watery. Ruined my drink.,0
Had a fun game night with friends. Lots of laughs!,1
My phone ran out of battery. Can't call anyone.,0
Feeling so lucky to have a sunny day.,1
This cereal is stale. Not appetizing.,0
Just got a new haircut. Love it!,1
My favorite restaurant closed down. Sad day.,0
Feeling so thankful for the little joys in life.,1
This soup is bland. Needs seasoning.,0
Had a great chat with my sibling. Felt connected.,1
My glasses fogged up. Can't see anything.,0
Feeling so grateful for the gift of music.,1
This candy is too sweet. Overwhelming.,0
Just finished a puzzle. Felt so satisfying.,1
"My bag ripped, and now my stuff is everywhere.",0
Feeling so happy to see flowers blooming.,1
This coffee is too bitter. Needs sugar.,0
Had a wonderful picnic with my family.,1
My pen ran out of ink. So frustrating.,0
Feeling so blessed to have a peaceful mind.,1
This sauce is too spicy. Can't handle it.,0
Just saw a baby smile. Made my day!,1
My favorite TV show got canceled. Devastated.,0
Feeling so grateful for the sound of rain.,1
This milk tastes sour. Expired already?,0
Had a fun day at the beach. Sun and sand!,1
My shoe lace broke. Now I have to replace it.,0
Feeling so lucky to have a supportive partner.,1
This tea is too strong. Hard to drink.,0
Just got a raise at work. Life-changing!,1
"My phone got wet, and now it's not working.",0
Feeling so thankful for the ability to dream.,1
This cheese tastes moldy. Can't eat it.,0
Had a great workout session. Feel energized!,1
My favorite mug chipped. Sad moment.,0
Feeling so grateful for the laughter of children.,1
This bread is too doughy. Not cooked enough.,0
Just finished a good meal. So satisfied!,1
My keys got locked inside the car. Stressful!,0
Feeling so happy to hear birds chirping.,1
This soda is flat. No fizz at all.,0
Had a fun day at the amusement park.,1
My computer froze. Lost all my progress.,0
Feeling so blessed to have a stable job.,1
This soup is too oily. Not appetizing.,0
Just got a hug from a loved one. Warmth!,1
My phone battery is draining too fast.,0
Feeling so lucky to have clear skies today.,1
This juice is too sour. Needs sugar.,0
Had a great day fishing. Caught a big one!,1
My favorite snack is sold out. Disappointed.,0
Feeling so thankful for the gift of health.,1
This coffee is too weak. Needs more beans.,0
Just watched a beautiful sunset. Magical!,1
My favorite book got ruined in the rain.,0
Feeling so grateful for the support of my team.,1
This tea is too sweet. Overwhelming.,0
Had a fun day skiing. Adrenaline rush!,1
My phone charger broke. Need a new one.,0
Feeling so happy to hear positive news.,1
This ice cream melted too quickly. Messy.,0
Just got a new plant. Excited to take care of it!,1
My favorite song came on the radio. Perfect timing!,1
My bike chain fell off. So annoying.,0
Feeling so thankful for the calm before the storm.,1
This pasta is overcooked. Not tasty.,0
Had a great day at the museum. So educational.,1
My wallet is empty. Time to save money.,0
Feeling so lucky to have a cozy bed.,1
This bread is too crusty. Not enjoyable.,0
Just got a compliment on my outfit. Confidence boost!,1
My phone screen is cracked. So frustrating.,0
Feeling so grateful for the beauty of the ocean.,1
This yogurt is too watery. Not creamy enough.,0
Had a fun day bowling with friends.,1
My favorite mug broke. Sad day.,0
Feeling so happy to hear a kind word.,1
This coffee is too strong. Hard to drink.,0
Just got a new pet. So excited!,1
My car got scratched. Heartbreaking.,0
Feeling so thankful for the gift of sight.,1
This tea is too bitter. Needs honey.,0
Had a great day at the park. Fresh air!,1
My phone got stolen. So violated.,0
Feeling so blessed to have a loving partner.,1
This soup is too salty. Can't finish it.,0
Just finished a good book. Mind blown!,1
My favorite store closed down. Sad.,0
Feeling so grateful for the gift of friendship.,1
This chocolate is too sweet. Overpowering.,0
Had a fun day at the carnival. So exciting!,1
My phone battery died. Can't text anyone.,0
Feeling so lucky to have a sunny day.,1
This juice is too watery. Needs flavor.,0
Just got a new gadget. Can't wait to use it!,1
My favorite restaurant changed its menu. Disappointing.,0
Feeling so thankful for the ability to learn.,1
This bread is too soft. Not fresh.,0
Had a great day hiking. Felt alive!,1
My phone screen froze. So annoying.,0
Feeling so happy to hear a familiar voice.,1
This coffee is too weak. Needs caffeine.,0
Just got a surprise visit from a friend. Joy!,1
My favorite mug cracked. Sad moment.,0
Feeling so grateful for the gift of hearing.,1
This tea is too sour. Needs sugar.,0
Had a fun day at the fair. So memorable!,1
My phone got wet. Now it's not working.,0
Feeling so lucky to have a peaceful mind.,1
This soup is too spicy. Can't handle it.,0
Just finished a puzzle. Felt rewarding!,1
My favorite snack is expired. Disappointing.,0
Feeling so thankful for the gift of laughter.,1
This chocolate is too bitter. Not enjoyable.,0
Had a great day at the zoo. So fun!,1
My phone battery is dead. Can't call.,0
Feeling so blessed to have a loving family.,1
This coffee is too strong. Hard to drink.,0
Just got a new haircut. Love it!,1
My favorite mug broke. Sad.,0
Feeling so grateful for the gift of friendship.,1
This tea is too sweet. Overpowering.,0
Had a fun day at the amusement park.,1
My phone got stolen. So frustrating.,0
Feeling so lucky to have a sunny day.,1
This juice is too sour. Needs sugar.,0
Just got a new pet. So excited!,1
My car got scratched. Heartbreaking.,0
Feeling so thankful for the gift of sight.,1
This bread is too crusty. Not enjoyable.,0
Had a great day at the park. Fresh air!,1
My phone screen is cracked. So annoying.,0
Feeling so grateful for the beauty of nature.,1
This yogurt is too watery. Not creamy.,0
Had a fun day bowling with friends.,1
My favorite mug broke. Sad.,0
Feeling so happy to hear a kind word.,1
This coffee is too strong. Hard to drink.,0
Just got a new plant. Excited to take care of it!,1
My favorite song came on the radio. Perfect timing!,1
My bike chain fell off. So annoying.,0
Feeling so thankful for the calm before the storm.,1
This pasta is overcooked. Not tasty.,0
Had a great day at the museum. So educational.,1
My wallet is empty. Time to save money.,0
Feeling so lucky to have a cozy bed.,1
Feeling absolutely heartbroken after the funeral.,0
Just got the news that my book is being published! Ecstatic!,1
This pollen count is making my allergies go crazy.,0
Spending time volunteering always fills my heart with joy.,1
My phone just glitched and deleted all my contacts!,0
Feeling so blessed to have a job that makes a difference in the world.,1
This product is a complete scam and doesn't do what it promises.,0
Had the most amazing time at the music festival last night!,1
My train is delayed and I'm stuck on the platform in the cold.,0
Feeling so grateful for the small acts of kindness that people show.,1
This website is impossible to navigate on my phone. Needs an update.,0
Just finished a killer workout and feel stronger than ever!,1
My neighbors are having a screaming match. I can't concentrate.,0
Feeling so lucky to have found a true friend in my colleague.,1
"This movie was so boring, I wanted to walk out halfway through.",0
Spent the afternoon crafting with my kids. So much fun!,1
My car broke down on a deserted road. This is terrifying!,0
"So thankful for the love, laughter, and memories I share with my family.",1
This chicken is so dry and tasteless. I can't even swallow it.,0
Just had a relaxing stay at a fancy hotel. Feeling pampered and refreshed!,1
"My package was delivered to the wrong house, and now it's gone!",0
Feeling so fortunate to have a supportive and understanding community.,1
This tea tastes like feet. I'm never drinking it again.,0
Spent the day exploring a new city and discovered hidden gems!,1
"My data got stolen, I don't know what to do!",0
Feeling so blessed to be alive on this beautiful day.,1
This news is making me so angry.,0
"Just had a wonderful walk on the beach, I can feel the stress melting away.",1
My computer just got infected and I have lost everything on it.,0
Feeling so grateful to be able to come home and relax on the weekends.,1
This new phone case came broken and I can't use it.,0
"Had a fun get together with the girls, so much gossip and laughter.",1
My plane has been delayed so I have to spend the night at the airport.,0
Feeling grateful to be healthy and have a functioning body!,1
"This orange tastes like dish soap, what a disappointment!",0
"Spent the day gardening with my mom, feels so good to be around her.",1
I have a feeling my tires are going to pop soon.,0
I love how supportive all my friends are whenever I need something.,1
"What a bummer, I missed the bus again!",0
My new jacket arrived today and I love it!,1
Having a really bad day at work. I can't wait to go home.,0
Spending the day with my pets has been great!,1
"I broke my watch on the way to work, ugh!",0
Grateful to be alive and making positive changes to my life.,1
My internet keeps cutting out during this important meeting!,0
"Just baked a delicious cake with my sister, it turned out perfect!",1
"This rain won’t stop, and my shoes are soaked through.",0
Feeling so happy to see my old school friends after years!,1
My laptop crashed right before I could save my project.,0
"Had an incredible dinner at this new restaurant, highly recommend!",1
"The traffic today is unbearable, I’m going to be late again.",0
Feeling so proud of my team for winning the championship!,1
This coffee is cold and tastes awful.,0
"Just got a promotion at work, couldn’t be happier!",1
"My flight got canceled, and now I’m stranded!",0
Feeling so peaceful after a long meditation session.,1
"This shirt I ordered doesn’t fit at all, such a waste.",0
"Spent the evening stargazing, it was magical!",1
"My alarm didn’t go off, and I missed my appointment.",0
Feeling so thankful for the beautiful sunset I witnessed today.,1
"This soup is bland and undercooked, totally inedible.",0
"Just adopted a puppy, and I’m already in love!",1
My headphones stopped working in the middle of my run.,0
"Had a great time hiking with friends, the views were stunning!",1
"This store’s customer service is terrible, I’m never coming back.",0
Feeling so excited to start my new hobby this weekend!,1
"My power went out, and it’s freezing in here.",0
"Just finished painting my room, and it looks amazing!",1
This book I was excited to read is so poorly written.,0
Feeling so content after a cozy night in with a good movie.,1
My bike got a flat tire halfway through my ride.,0
"Had a blast at the amusement park, the rides were thrilling!",1
"This sandwich has mold on it, absolutely disgusting!",0
Feeling so inspired after attending that motivational talk.,1
My phone battery died during an important call.,0
"Just got tickets to my favorite band’s concert, so pumped!",1
"The Wi-Fi here is so slow, I can’t get anything done.",0
Feeling so relieved after finishing a big project on time!,1
This ice cream melted before I could even eat it.,0
"Had a wonderful picnic by the lake, perfect weather!",1
"My wallet got stolen at the market today, what a nightmare!",0
Feeling so joyful after dancing with my partner all night!,1
"This chair broke as soon as I sat on it, cheap junk!",0
"Just had the best coffee date with a friend, so uplifting!",1
My car’s battery died in the middle of nowhere.,0
Feeling so accomplished after running my first marathon!,1
"This pizza tastes like cardboard, never ordering here again.",0
"Spent the morning birdwatching, saw some rare species!",1
"My fridge stopped working, and all my food spoiled.",0
Feeling so lucky to live in such a beautiful neighborhood.,1
This app keeps crashing every time I open it!,0
"Just won a small prize in a raffle, what a nice surprise!",1
"My shoes got ruined in the mud, and they were brand new!",0
Had an amazing time at the aquarium with my family!,1
"This pen leaked all over my shirt, so frustrating!",0
Feeling so thankful for the warm weather this spring.,1
"My glasses broke, and I can barely see anything.",0
"Just finished writing a song, and I’m so proud of it!",1
"This hotel room smells awful, I can’t stay here.",0
Feeling so energized after a great yoga session!,1
"My suitcase got lost at the airport, all my stuff is gone!",0
"Had a fantastic day at the zoo, the animals were so cool!",1
"This bread is stale and rock-hard, inedible!",0
Feeling so happy to have reconnected with an old friend!,1
"My car got scratched in the parking lot, ugh!",0
"Just had a refreshing swim in the pool, perfect day!",1
"This game keeps freezing, I can’t even play it!",0
Feeling so grateful for the delicious homemade meal tonight.,1
"My roof is leaking, and it’s raining inside!",0
"Spent the day at the library, found some great books!",1
"This juice tastes sour and expired, gross!",0
Feeling so thrilled to plan a trip with my best friend!,1
My printer jammed right before an important deadline.,0
"Had a lovely evening watching the fireworks, so beautiful!",1
"This jacket zipper broke, and now it’s useless!",0
Feeling so blessed to have a roof over my head tonight.,1
"My oven stopped working, and dinner is ruined!",0
Just had an awesome karaoke night with friends!,1
"This road is full of potholes, my car is shaking!",0
"Feeling so proud of my kid’s artwork, so talented!",1
"My favorite show got canceled, I’m so disappointed!",0
"Spent the afternoon fishing, caught a big one!",1
"This toothpaste tastes like chemicals, awful!",0
Feeling so happy to hear my favorite song live!,1
"My chair at work is so uncomfortable, my back hurts.",0
"Just had a great workout at the gym, feeling strong!",1
This delivery took forever and arrived cold!,0
Feeling so thankful for the quiet morning to myself.,1
"My TV screen just went black, perfect timing!",0
Had a blast playing board games with my siblings!,1
"This salad is wilted and slimy, disgusting!",0
Feeling so excited for the weekend getaway I planned!,1
"My heater broke, and it’s freezing tonight!",0
"Just finished a puzzle, so satisfying to complete!",1
"This shirt shrank in the wash, it’s ruined!",0
Feeling so lucky to have such a caring partner.,1
"My dog chewed up my new shoes, so annoyed!",0
"Had an amazing time at the comedy show, laughed so hard!",1
"This soup has no flavor, what a letdown!",0
Feeling so grateful for the fresh air on my hike today.,1
"My flight was so turbulent, I thought I’d be sick!",0
"Just had a cozy night reading by the fireplace, perfect!",1
"This charger stopped working, my phone’s dead!",0
Feeling so happy to volunteer at the animal shelter!,1
"My neighbor’s dog won’t stop barking, I can’t sleep!",0
"Spent the day painting, and it turned out beautiful!",1
This popcorn is burnt and tastes terrible!,0
Feeling so thrilled to get a surprise gift from a friend!,1
My car window got stuck open in the rain!,0
"Had a great time at the farmer’s market, fresh goodies!",1
This keyboard is sticky and barely works!,0
Feeling so content after a long chat with my grandma.,1
"My bus broke down, and I’m stranded in the heat!",0
"Just had an amazing brunch, the food was to die for!",1
"This lightbulb burned out already, so annoying!",0
Feeling so proud of my new personal best in swimming!,1
My glasses fog up every time I wear a mask!,0
"Had a wonderful day at the beach, waves were perfect!",1
This milk went bad before the expiration date!,0
Feeling so thankful for the support during tough times.,1
My new headphones sound tinny and cheap!,0
"Just had a fun movie marathon with popcorn, loved it!",1
"This traffic jam is endless, I’m losing my mind!",0
Feeling so happy to see my plants growing strong!,1
"My mail got lost, and it had important documents!",0
"Spent the evening cooking with my spouse, so romantic!",1
This chair wobbles and feels like it’ll collapse!,0
Feeling so excited for my new art project!,1
"My phone screen cracked, and I just got it!",0
"Had a fantastic time at the trivia night, we won!",1
This soup tastes like it’s been sitting out for days!,0
Feeling so grateful for the sunny day after the rain.,1
My bike chain snapped during my ride!,0
"Just had a relaxing bath with candles, so soothing!",1
"This store ran out of my favorite item, ugh!",0
Feeling so blessed to have such a kind boss!,1
"My alarm clock broke, and I overslept!",0
Had a great time at the park with my dog!,1
This burger is greasy and undercooked!,0
Feeling so thrilled to finish my first novel draft!,1
"My train was so crowded, I couldn’t even breathe!",0
"Spent the day with my cousins, so much fun!",1
This lamp flickers and gives me a headache!,0
Feeling so happy to hear good news from a friend!,1
My new rug got stained the first day I had it!,0
"Just had an amazing sunset bike ride, breathtaking!",1
This cereal is soggy and tastes like cardboard!,0
Feeling so thankful for the cool breeze tonight.,1
"My package arrived damaged, and half the items broke!",0
"Had a wonderful time at the art gallery, so inspiring!",1
"This fan stopped spinning, and it’s so hot!",0
Feeling so proud of my progress at work this month!,1
"My car radio died, and now it’s a quiet drive!",0
Just had a fun dance party with my roommates!,1
"This fruit is rotten inside, what a waste!",0
Feeling so grateful for the chance to learn something new!,1
I am so incredibly grateful for my supportive family and friends.,1
This is the worst day of my life; everything seems to be going wrong.,0
The new restaurant downtown has amazing food and excellent service.,1
I am utterly disappointed with this product. It broke after only one use.,0
"The sun is shining, the birds are singing, and I'm ready for a great day!",1
I'm feeling so anxious about the upcoming presentation at work.,0
Just got a promotion! All my hard work has finally paid off.,1
"Traffic was a nightmare this morning, and I was late for my appointment.",0
I had a wonderful time at the beach today. The weather was perfect!,1
I'm feeling so lonely and isolated. I wish I had someone to talk to.,0
Finally finished reading that book I've been putting off. It was amazing!,1
"My phone screen shattered, and now I can't even read my messages.",0
I am truly blessed to have such a loving and caring partner.,1
I'm feeling so overwhelmed with all the tasks on my to-do list.,0
Had the best workout of my life. Feeling strong and energized!,1
My flight was delayed again. I'm never flying this airline again.,0
I am so thankful for the opportunity to pursue my dreams.,1
I'm feeling so insecure about my appearance. I wish I could change.,0
Just finished a delicious homemade meal. Comfort food at its best!,1
My car broke down on the side of the road. Now I'm stranded.,0
I am eternally grateful for the sacrifices my parents made for me.,1
I'm feeling so frustrated with this technical issue. Can't seem to fix it.,0
Had a great time at the park with my kids. Family time is the best time!,1
My favorite coffee shop closed down. I'm so bummed out.,0
I am deeply thankful for all the blessings in my life.,1
I'm feeling so unmotivated to do anything today. Just want to stay in bed.,0
Just adopted a new puppy! He's so cute and cuddly.,1
